"timestamp","manufacturer_name","racket_name","swing_type","impact_position","ball_speed[km/h]","ball_spin","swing_speed[km/h]","tag_id","video_filename"
"2016-11-05 12:43:14","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","10","85","4","105","",""
"2016-11-05 12:43:18","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","12","86","4","100","",""
"2016-11-05 12:43:21","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","87","2","75","",""
"2016-11-05 12:43:25","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","78","-8","75","",""
"2016-11-05 12:43:28","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","81","3","94","",""
"2016-11-05 12:43:32","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","12","86","4","107","",""
"2016-11-05 12:43:35","Wilson","BLADE 98 18x20","BACKHAND_SLICE","12","73","-6","70","",""
"2016-11-05 12:43:38","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","18","85","4","73","",""
"2016-11-05 12:43:42","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","11","90","3","111","",""
"2016-11-05 12:43:44","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","71","2","62","",""
"2016-11-05 12:44:17","Wilson","BLADE 98 18x20","FOREHAND_SLICE","12","87","-3","72","",""
"2016-11-05 12:44:20","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","12","99","5","118","",""
"2016-11-05 12:44:24","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","14","80","5","83","",""
"2016-11-05 12:44:27","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","88","5","90","",""
"2016-11-05 12:44:30","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","18","69","3","72","",""
"2016-11-05 12:44:34","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","6","94","4","108","",""
"2016-11-05 12:44:37","Wilson","BLADE 98 18x20","BACKHAND_SPIN_FLAT","13","85","4","78","",""
"2016-11-05 12:44:41","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","13","105","4","118","",""
"2016-11-05 12:44:44","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","20","85","5","104","",""
"2016-11-05 12:44:47","Wilson","BLADE 98 18x20","FOREHAND_SPIN_FLAT","7","88","5","100","",""
"2016-11-05 12:44:51","Wilson","BLADE 98 18x20","BACKHAND_SLICE","13","83","-7","79","",""
"2016-11-05 12:44:55","Wilson","BLADE 98 18x20","BACKHAND_SLICE","11","79","-5","73","",""
"2016-11-05 12:44:58","Wilson","BLADE 98 18x20","FOREHAND_VOLLEY","13","72","-3","59","",""
